1,29,84,27
2,66,69,34
3,64,52,43
4,69,35,46
5,55,57,30
6,41,49,56
7,74,100,56
8,73,89,47
9,93,64,63
10,51,69,68
11,51,66,81
12,29,88,77
13,95,90,35
14,88,74,87
15,48,33,52
16,49,66,49
17,34,28,61
18,44,90,54
19,47,86,38
20,99,25,78
21,29,75,99
22,47,96,31
23,96,98,22
24,63,62,22
25,58,67,21
26,89,76,73
27,25,81,42
28,89,83,51
29,34,80,80
30,78,55,48
31,59,90,22
32,95,36,26
33,23,49,31
34,75,67,67
35,51,47,83
36,47,63,55
37,47,53,97
38,73,56,87
39,28,81,84
40,26,67,33
41,69,86,44
42,95,64,63
43,36,91,41
44,65,27,88
45,20,70,56
46,59,94,53
47,74,95,53
48,28,48,59
49,34,62,44
50,37,54,23
51,39,67,50
52,83,51,55
53,74,47,83
54,76,88,66
55,68,48,60
56,64,47,96
57,84,57,23
58,32,57,95
59,88,77,31
60,71,20,71
61,72,35,94
62,34,75,49
63,49,48,36
64,66,72,41
65,70,96,22
66,87,66,42
67,79,77,93
68,57,38,98
69,35,97,29
70,45,23,53
71,30,37,91
72,70,93,64
73,36,68,68
74,69,37,75
75,82,76,39
76,38,43,36
77,87,65,72
78,42,60,92
79,60,81,64
80,21,50,60
81,32,92,85
82,64,43,25
83,59,46,65
84,49,95,77
85,99,27,79
86,88,41,98
87,83,71,51
88,91,34,21
89,98,23,38
90,38,53,54
91,36,77,98
92,95,86,23
93,82,93,30
94,98,74,98
95,35,55,46
96,74,47,23
97,46,51,27
98,45,27,86
99,52,58,60
100,44,33,87
